market,zone,code,is_active
Baltimore,Downtown,BAL-DT,true
Baltimore,North,BAL-N,true
Baltimore,South,BAL-S,true
Baltimore,East,BAL-E,true
Baltimore,West,BAL-W,true
Dallas,Central,DAL-C,true
Dallas,North,DAL-N,true
Dallas,South,DAL-S,true
Dallas,West,DAL-W,true
Dallas,East,DAL-E,true
Phoenix,Metro,PHX-M,true
Phoenix,North Valley,PHX-NV,true
Phoenix,South Valley,PHX-SV,true
Phoenix,East Mesa,PHX-EM,true
Phoenix,West Glendale,PHX-WG,true
Atlanta,Downtown,ATL-DT,true
Atlanta,North Perimeter,ATL-NP,true
Atlanta,South,ATL-S,true
Atlanta,Buckhead,ATL-B,true
Atlanta,Eastside,ATL-E,true
